    3 ---       -0.830 +0.657 
    4 ---       +6.522 -3.001 
    6 ---       +0.719 -0.550 
    7 ---       -2.083 +0.353 
    8 ---       -5.618 -0.425 
   10 ---      +10.664 +0.475 
   14 ---       +0.397 -0.235 
   18 ---       -3.632 +0.645 
   22 ---       +3.087 +4.288 
   25 ---       -4.941 -0.428 
   28 ---       -2.367 +0.643 
   29 ---       -1.395 +1.786 
   32 ---       -2.197 -0.135 
   36 ---       +8.650 +3.749 
   38 ---       +8.696 +3.632 
   39 ---       -3.126 +0.081 
   42 ---       -3.536 +0.903 
   43 ---       -0.479 -0.921 
   53 ---       +9.653 +4.654 
   54 ---       +8.201 +3.976 
   55 ---       +4.758 +3.835 
   61 ---       -1.571 +0.243 
   68 ---       -1.456 -0.167 
   71 ---       +0.729 +1.259 
   72 ---       -4.256 +3.910 
   73 ---       -5.395 +0.310 
   82 ---       +1.221 -0.130 
   86 ---       +8.637 +2.872 
   88 ---      +11.052 +3.514 
  111 ---       +8.344 +3.580 
  116 ---       -0.467 +0.518 
  124 ---       -2.507 -0.012 
  126 ---       -4.491 -0.159 
  128 ---       +5.615 +2.917 
  131 ---       +4.440 +2.107 
  134 ---       +9.434 +3.269 
  137 ---       +8.191 +4.120 
  138 ---       -1.191 -0.117 
  149 ---       -4.552 -0.414 
  157 ---       +9.202 +3.200 
  158 ---       -0.459 +0.953 
  167 ---       +1.684 +0.158 
  169 ---       -6.989 +1.376 
  185 ---       +8.999 +2.300 
  186 ---       -0.343 +0.623 
  196 ---       -4.886 +2.111 
  204 ---       -1.501 +0.014 
  211 ---       +9.715 +3.645 
  218 ---       -2.238 +0.907 
  221 ---       -0.007 +1.728 
  230 ---       -2.061 +1.179 
  231 ---       +3.900 +3.399 
  234 ---       -6.399 +3.067 
  235 ---       -4.088 +2.985 
  237 ---       -2.563 -1.083 
  239 ---       -2.258 +3.068 
  243 ---       -2.087 +0.695 
  245 ---       -2.880 -0.260 
  248 ---       +2.496 +4.051 
  256 ---       +2.936 +3.827 
  287 ---       -5.947 +1.171 
  289 ---       -8.784 -4.235 
  290 ---       -3.646 -0.396 
  291 ---       -2.675 -1.394 
  292 ---       -5.206 -0.269 
  297 ---       -4.012 +2.342 
  314 ---       +7.880 +3.100 
  319 ---       +3.428 +4.504 
  339 ---       -0.121 +2.575 
  345 ---       +7.384 +2.989 
  346 ---       -0.646 -0.710 
  349 ---       +2.917 -4.011 
  350 ---       +6.662 +4.632 
  354 ---       -7.600 +0.313 
  371 ---       -5.893 -2.325 
  374 ---       -2.917 +0.430 
  384 ---       -1.317 +0.998 
  402 ---       -1.743 +2.919 
  416 ---       -5.323 +0.813 
  430 ---       +8.949 +2.320 
  441 ---       +0.843 +3.152 
  446 ---      -11.299 -4.107 
  456 ---       -3.045 +0.687 
  467 ---       -0.071 +5.950 
  470 ---       -4.774 +0.393 
  471 ---       -0.211 +0.285 
  474 ---       +4.469 +3.554 
  477 ---       -2.235 +0.716 
  480 ---       -2.468 -1.476 
  481 ---       +6.470 +2.714 
  495 ---      +10.292 +2.844 
  509 ---       -1.707 +0.274 
  511 ---       +7.164 +2.660 
  512 ---       -7.226 -1.051 
  518 ---       -0.042 -1.307 
  519 ---       +1.108 -0.250 
  529 ---       -4.647 +1.947 
  541 ---       +9.540 +3.353 
  550 ---       -5.806 +0.169 
  563 ---       -4.198 -0.463 
  582 ---       -6.459 +0.065 
  599 ---       -3.903 +2.968 
  631 ---       -3.529 -0.048 
  639 ---       -1.066 +2.749 
  653 ---       -4.152 +3.102 
  675 ---       -3.974 +0.080 
  683 ---       +7.359 +2.688 
  702 ---       +7.280 +3.119 
  720 ---       +3.501 +0.534 
  722 ---       -7.810 -0.601 
  724 ---      +14.295 +3.095 
  732 ---       -6.704 +5.605 
  737 ---       -1.420 +0.624 
  752 ---       +5.697 +5.038 
  774 ---       -2.555 +0.116 
  787 ---       -1.562 -1.024 
  788 ---       +9.715 +3.198 
  803 ---       -1.327 +5.773 
  808 ---       -0.471 -0.437 
  811 ---       +1.172 +0.736 
  813 ---       -7.732 +0.246 
  851 ---       -3.103 -0.497 
  863 ---      -15.559 -2.714 
  879 ---       -3.739 +0.971 
  900 ---       -4.930 +3.468 
  915 ---       -7.863 +0.009 
  918 ---       -3.743 -1.293 
  951 ---       -5.262 -0.130 
 1063 ---       +0.626 +3.035 
 1071 ---       +1.136 +3.492 
 1084 ---       +8.364 +3.862 
 1110 ---       -3.331 +0.415 
 1143 ---       -7.261 +7.146 
 1144 ---       -3.908 +4.516 
 1145 ---       -1.111 +5.249 
 1165 ---       +6.060 +3.120 
 1166 ---       -3.195 +0.841 
 1198 ---       -3.686 +1.848 
 1257 ---      +10.216 +3.940 
 1264 ---       +8.226 +2.798 
 1273 ---       +1.952 -5.378 
 1279 ---       +5.236 +1.940 
 1289 ---       +0.791 +2.199 
 1302 ---      +12.071 +1.997 
 1325 ---       -3.869 +0.855 
 1358 ---       +9.110 +3.133 
 1375 ---       -3.193 +0.527 
 1379 ---       +0.774 +1.500 
 1393 ---       -8.904 +2.805 
 1451 ---       -0.743 -0.676 
 1463 ---       +4.042 +3.436 
 1471 ---       -4.869 +6.534 
 1478 ---      -11.885 +3.743 
 1480 ---       -0.280 +0.087 
 1501 ---       -2.511 -0.065 
 1518 ---       -8.182 +0.389 
 1534 ---       +7.207 +3.798 
 1577 ---       -5.145 -0.049 
 1584 ---       -2.006 -0.224 
 1607 ---       -0.877 -0.627 
 1626 ---       -4.545 -0.738 
 1628 ---       +4.087 +3.632 
 1646 ---       +5.982 +3.249 
 1651 ---       -5.728 -0.572 
 1653 ---       +7.778 +1.226 
 1658 ---       -6.039 +1.634 
 1679 ---       +4.315 +2.850 
 1697 ---       +1.050 +5.332 
 1712 ---       +4.966 +3.934 
 1722 ---       -3.374 -0.018 
 1725 ---       +1.749 +1.117 
 1743 ---       +6.517 +1.685 
 1749 ---       -5.331 +6.395 
 1772 ---       -7.011 +1.475 
 1781 ---       +0.369 +3.341 
 1807 ---       -6.156 -0.426 
 1854 ---       -1.821 +0.816 
 1892 ---       -7.607 +3.385 
 1906 ---       -5.161 -0.808 
 1907 ---       +0.282 +0.032 
 1929 ---       +3.051 -6.226 
 1933 ---       -2.712 -4.022 
 1934 ---       -3.934 -0.271 
 1967 ---       -3.209 -0.751 
 1995 ---       +3.360 +4.759 
 2011 ---       -2.564 -6.151 
 2014 ---       -1.570 -0.668 
 2017 ---       -8.448 +0.713 
 2024 ---       -6.467 +0.822 
 2060 ---       +8.295 +3.226 
